id	name	iso_code	glottocode	phylum_id	genus_id	contributor_id	source	comments	dialect	latitude	longitude	head_dialect	alternate_names	deprecated
151	Faroese	fao		3	8	3	Barnes, Michael P. & Eivind Weyhe. 1994. Icelandic. The Germanic Languages (eds.: König, Ekkehard; van der Auwera, Johan), 142-189. London: Routledge.	Faroese has the same syllabic structure as most other forms of Scandinavian except Danish. In lexical pronunciation stressed syllables are long (V:, V:C, VC: or VCC - note, however, the clusters /pi, pr, tr, kl, kr/, where the preceding vowel is long) and unstressed are short (Barnes & Weyhe 1994: 190). Attempts have been made to present length as allophonic, but the corollary seems to be that length in consonants must then be regarded as phonemic, so little is gained in the way of economy (Barnes & Weyhe 1994: 190). /b, d, g/ are voiced, lax and unaspirated; however, the voicing is at best weak and sometimes absent (especially in word- or sentence-final position - but that is a characteristic of most voiced consonants) (Barnes & Weyhe 1994: 193).	0	62.0151195	-6.7998076			0
152	Czech (Bohemian)	ces		3	16	2	Šárka Šimáčková; Václav Jonáš Podlipský; Kateřina Chládková. 2012. Czech spoken in Bohemia and Moravia. Journal of the International Phonetic Association, 42/2		0	50.0	14.5			0
153	Nyinpa Cone	cda		4	41	1	Jacques, Guillaume. 2011. A phonological profile of Cone, ms. http://halshs.archives-ouvertes.fr/halshs-00632301.		0	34.45727	103.08387			0
154	Turkish (Standard)	tur		16	105	2	Göksel, Aslı; Kerslake, Celia. 2005. Turkish: a comprehensive grammar. London and New York: Routledge		0	41.0	29.0			0
155	Mundari	unr		8	63	1	Osada, Toshiki. 2008. Mundari. The Munda Languages, ed. by Gregory D.S. Anderson, 99–164. Routledge language family series. London: Routledge.		0	23.0	85.2			0
156	Brahui (Sarāwān)	brh		12	74	2	"Andronov, M.S. 1980. The Brahui language. Moscow: ""Nauka"" publishing house, Central Department of Oriental Literature; Elfenbein, Josef. 1997. Brahui phonology. Phonologies of Asia and Africa (Including the Caucasus), volume 1. Eds: Alan S. Kaye. Winona Lake, Indiana: EISENBRAUNS"	Nasalized vowels and /ɛ/ are marginal.	0	29.0	66.6			0
157	Lue (Chieng Hung)	khb		9	70	1	Hudak, Thomas J. 1996. William J. Gedney’s The Lue language: glossary, texts, and translations. Michigan papers on South and Southeast Asia no. 44. Ann Arbor: Center for South and Southeast Asian Studies, University of Michigan.		0	21.983	100.817			0
158	Romanian (Standard)	ron		3	15	2	Chițoran, Ioana. 2001. The Phonology of Romanian: A Constraint-based Approach. Berlin & New York: Mouton de Gruyter	/e̯o̞/ and /e̯o̯ä/ might also be included. In French and German borrowings, /œ/, /ɵ/, /ø/ and /y/ are marginally found.	0	44.0	26.0			0
159	Northwestern Pashto			3	14	2	Elfenbein, Josef. 1997. Pashto phonology. Kaye, Alan S., and Peter T. Daniels (eds.) Phonologies of Asia and Africa (including the Caucasus). Vol. 1, 733–760. Winona Lake, Indiana: Eisenbrauns		0	34.4	70.4			0
160	Nyaw (Uthen)	nyw		9	70	1	Gedney, William J., and Thomas J. Hudak (eds.) 1997. William J. Gedney’s Tai dialect studies: glossaries, texts, and translations. Michigan papers on South and Southeast Asia no. 45. Ann Arbor, Mich: Center for South and Southeast Asian Studies, The University of Michigan.	Wovel length was not investigated.	0	17.556944	104.6125			0
161	Hungarian (Standard)	hun		15	103	2	Gósy, Mária. 2004. Fonetika, a beszéd tudománya. Budapest: Osiris Kiadó	/j/ has allophones [ʝ] and [ç] in certain environments. /h/ may become [ɦ], [ç], [x]. /ä/ is restricted to recent borrowings. /c/, /ɟ/ are sometimes described as /cç/, /ɟʝ/.	0	47.5	19.0			0
162	South Azerbaijani (Tabriz)	azb		16	105	2	Karimzad, Farzad. 2015. The sound system of Tabrizi Azeri. Urbana–Champaign: University of Illinois at Urbana–Champaign, IL.	/k/ is marginal.	0	38.1	46.3			0
163	Tay Daeng	tyr		9	70	1	Ferlus, Michel. 2008. The Tai dialects of Nghệ An, Vietnam (Tay Daeng, Tay Yo, Tay Muong). In Anthony Diller, Jerold A. Edmondson & Luo Yongxian (eds.), The Tai-Kadai languages, 298–316. London & New York: Routledge.		0	19.0130593	104.79877			0
164	Karata	kpt		5	45	2	მაჰომედბეკოვა, ზ. 1971. კარატული ენა. გრამატიკული ანალიზი, ტექსტები, ლექსიკონი. თბილისი		0	42.5969703	46.3340785			0
165	Santali	sat		8	63	1	Ghosh, Arun. 2008. Santali. The Munda Languages, ed. by Gregory D.S. Anderson, 11–98. Routledge language family series. London: Routledge.		0	23.6101808	85.2799354			0
166	Luxembourgish	ltz		3	8	3	Gilles, Peter & Jürgen Trouvain. 2013. Journal of the International Phonetic Association 43(1). 67–74.	Similar to Standard German, voiced obstruents cannot occur syllable-finally and will be devoiced (‘Auslautverhärtung’). Likewise, the voiceless plosives [p t k] are aspirated in most positions. The phonologically voiced plosives [b d ɡ] are in fact often realized as devoiced plosives. Thus, the phonological opposition is established by a fortis/lenis distinction... Among the fricatives, [χ] and [ɕ] are allophones of one single phoneme /χ/. The same holds for their voiced counterparts [ʁ] and [ʑ] with the latter allophone appearing only in a few words, however... From a phonemic perspective, the vowel /eː/ has two contextually conditioned allophones: when preceded by the vibrant /r/ in simplex words an open [ɛː] is realized (Kär [kɛːə] ‘core’); in all other contexts a closed [eː] (Keess [keːs] ‘cash register’) is realized... The short vowels [ə] and [e] are complementarily distributed allophones of the same phoneme /e/. [e] (with a more open [ɛ] alternative realization) appears only before velar consonants as in Méck [mek] ‘fly’ or zéng [ʦeŋ] ‘ten’, whereas [ə] appears in all other positions. Luxembourgish schwa is realized frequently with light lip rounding and – compared to [e] – this vowel is strongly centralized... Similar to Standard German, secondary diphthongs arise after vocalization of tautosyllabic /r/ after long monophthongs.	0	49.8152995	6.13332			0
167	Maltese (Standard)	mlt		17	112	2	Borg, Alexander. 1997. Maltese phonology. Kaye, Alan S., and Peter T. Daniels (eds.) Phonologies of Asia and Africa (including the Caucasus). Vol. 1, 245–286. Winona Lake, Indiana: Eisenbrauns		0	35.9	14.5			0
168	Nuosu (Black Yi)	iii		4	32	1	Fu, Maoji. 1997. A descriptive grammar of Lolo. Linguistics of the Tibeto-Burman Area 20.1–242.	Original entry included /z̩, ʐ̩/ (duplicates for apical vowels). Recheck.	0	27.894	102.264			0
169	Pite Saami	sje		15	101	2	Wilbur, Joshua. 2014. A grammar of Pite Saami. Berlin: Language Science Press	/ð/ and /ðː/ are substituted by /t/, /tː/ or /r/, /rː/ in most speakers.	0	66.58	16.35			0
170	Modern Aramaic (Northeastern)			17	113	1	Hoberman, Robert D. Modern Aramaic Phonology. 1997. Kaye, Alan S., and Peter T. Daniels (eds.) Phonologies of Asia and Africa (including the Caucasus). Vol. 1, 313–335. Winona Lake, Indiana: Eisenbrauns.		0	37.15	42.683333			0
171	Waneci	wne		3	14	2	Elfenbein, Josef. 1997. Pahsto phonology. Kaye, Alan S., and Peter T. Daniels (eds.) Phonologies of Asia and Africa (including the Caucasus). Vol. 1, 733–760. Winona Lake, Indiana: Eisenbrauns		0	30.1	67.9			0
172	South Mustang Tibetan (Jharkhot)			4	41	1	Kretschmar, Monika. 1995. Erzählungen und Dialekt aus Südmustang. Beiträge zur tibetischen Erzählforschung Bd. 12. Bonn: VGH-Wissenschaftsverlag.	Initial clusters are very rare. Tone is partly predictable from consonantal anlaut.	0	28.817816	83.849625			0
173	Tundra Nenets (Central-Eastern)	yrk		15	102	2	Salminen, Tapani. 1998. Nenets. The Uralic languages, 516–547. Ed.: Daniel Abondolo. London & New York: Routledge		0	67.1	59.3			0
174	Dolakha Newar			4	34	1	Genetti, Carol. 2003. Dolakha Newar. In LaPolla, Randy J., and Graham Thurgood (eds.) Sino-Tibetan Languages. London: Routledge, 355-370.		0	27.677414	86.075038			0
175	Tundra Yukaghir	ykg		25	129	2	Maslova, Elena. 2003. Tundra Yukaghir. Munich: Lincom; Мудрак, Олег. 2010. [Рецензия] Irina Nikolaeva. A Historical Dictionary of Yukaghir. 2006. Вопросы языкового родства, № 3, 164-173	[ɢ] is an allophone of /ʁ/ occuring after /ŋ/. /u/ has a highly marginal status.	0	69.2	154.4			0
176	Lahu (Black)	lhu		4	32	1	Matisoff, James A. 1973. The grammar of Lahu. University of California publications in linguistics, v. 75. Berkeley: University of California Press.	/h/ is rare	0	22.489616	99.920917			0
177	Spanish (Castilian)	spa		3	15	2	Frías Conde, Xavier. 2001. Introducción a la fonética y fonología del español. Ianu: Revista Philologica Romanica. Suplemento 04.	/ʃ/ is found marginally in English loanwords.	0	40.4	-3.7			0
178	Atayal	tay		14	85	2	Rau, Der-Hwa Victoria. 1992. A Grammar ot Atayal. Cornell University	Consonant clusters are disallowed and prevented by the insertion of non-phonemic schwa.	0	24.79	121.56			0
179	Rgyalthang Tibetan			4	41	1	Hongladarom, Krisadawan. 1996. Rgyalthang Tibetan of Yunnan: A preliminary report. Linguistics of the Tibeto-Burman Area 19.69–92.		0	27.825973	99.707128			0
180	Galician	glg		3	15	2	Regueira, Xosé Luís (dir.): Dicionario de pronuncia da lingua galega. Santiago de Compostela: Instituto da Lingua Galega. <http://ilg.usc.es/pronuncia> [Consultado: 29/06/2014]	In formal Standard Galician, /g ~ ɰ/ are employed instead of /ħ/; [h], [x], [ɦ] and [ʕ] are also found. /θ/ is absent dialectally (then /s̺/ and /θ/ merge into /s/). [ʎ] for /ɟ/ is not common anymore ([ʝ̞] is another possible surface realization). /β̞/ and /ð̞/ are normally considered allophones of their respective homorganic stops; however, the contrast is maintained in cases where syllabification might be ambiguous: cf. /s̺ub.li.mi.naɾ/ and /su.β̞li.me/ ([Regueira 2014: xii]). /ä/ might be advanced or retracted depending on the environment. The seven vowels reduce to [ɐ], [ɪ], [ʊ] when word-final and unstressed.	0	43.0	-8.0			0
181	English (RP)	eng		3	8	3	Jones, Daniel. 2003. English Pronouncing Dictionary. 16th edition, ed. by Peter Roach, James Hartman and Jane Setter. Cambridge University Press.	The consonants /ʃ/, /ʒ/, /tʃ/, /dʒ/, /ɹ/ are usually accompanied by lip-rounding.	0	51.5286416	-0.1015987			0
182	Georgian	kat		6	50	2	Aronson, Howard I. 1990. Georgian: a reading grammar (second ed.), Columbus, OH: Slavica.	There are virtually no restrictions on the consonant clusters. /qχʼ/ might be /qʼ/ or /χʼ/. /ɫ/ might be plain (non-velarized) when adjacent to front vowels.	0	41.7	44.8			0
183	Gtaʔ	gaq		8	63	1	Anderson, Gregory D.S. 2008. Gtaʔ. The Munda Languages, ed. by Gregory D.S. Anderson, 682–763. Routledge language family series. London: Routledge.	Suprasegmental phenomena not investigated. /bb/ etc. look suspiciously like long consonants.	0	18.3435863	81.8825279			0
184	Lower Sorbian	dsb		3	16	2	Hannusch, Erwin. 1998. Niedersorbisch praktisch und verständlich. Bautzen: Domowina-Verlag		0	51.7563108	14.3328679			0
185	Western Balochi (Sarāwānī)	bgn		3	14	2	Elfenbein, Josef. 1997. Balochi phonology. Kaye, Alan S., and Peter T. Daniels (eds.) Phonologies of Asia and Africa (including the Caucasus). Vol. 1, 761–776. Winona Lake, Indiana: Eisenbrauns	/f/, /q/, /ʔ/ are found in careful educated speech.	0	27.37	62.33			0
186	Domari (Palestinian)	rmt		3	11	2	Matras, Yaron. 2007. A grammatical sketch of Domari. Manchester: University of Manchester		0	31.8	35.3			0
187	Gadaba	gdb		12	76	1	Bhaskararao, Peri. 1998. Gadaba. The Dravidian languages, ed. by Sanford B. Steever, 328–355. Routledge language family descriptions. London ; New York: Routledge.		0	18.834493	82.403434			0
188	Spiti Tibetan	spt		4	41	1	Sharma, Suhnu R. 1979. Phonological structure of Spiti. Linguistics of the Tibeto-Burman area 4.83–110.		0	32.2465	78.03707			0
189	Solon	evn		11	72	2	Tsumagari, Toshiro. 2009. A sketch of Solon grammar. Hokkaido University Collection of Scholarly and Academic Papers : HUSCAP		0	49.2	119.8			0
190	Vietnamese (Hanoi)	vie		8	66	1	Kirby, James P. 2011. Vietnamese (Hanoi Vietnamese). Journal of the International Phonetic Association 41.381–392.		0	21.033333	105.85			0
191	Chukchi	ckt		24	125	2	Muravyova I.A., Daniel M.A., Zhdanova T.Ju. 2001. Chukchi language and folklore in texts collected by V.G.Bogoraz. A RSS/OSSF report (Research Support Scheme of the Open Society Support Foundation, grant No 584/1999). Moscow (unpublished)		0	65.58	-171.04			0
192	Manange	nmm		4	39	1	Hildebrandt, Kristine A. 2003. Manange Tone: Scenarios of Retention and Loss in Two Communities. UC Santa-Barbara; Hildebrandt, Kristine A. 2004. A grammar and glossary of the Manange language. Tibeto-Burman languages of Nepal: Manange and Sherpa, ed. by Carol Genetti, 1–189. Pacific linguistics 557. Canberra: The Australian National University; Hildebrandt, Kristine A. 2005. A Phonetic Analysis of Manange Segmental and Suprasegmental Properties. Linguistics of the Tibeto-Burman Area 28.1–36.	Based on my field data, /kj/ clusters seem in reality to be palatalised segments (/kʲ/). A re-evalution is in order.	0	28.667231	84.01877			0
193	Dupaningan Agta	duo		14	91	2	Robinson, Laura C. 2008. Dupaningan Agta: grammar, vocabulary, and texts. University of Hawai'i	The phonemic status of /ə/ and /ʔ/ is highly dubious.	0	18.4	122.2			0
194	Konda	knd		12	82	1	Krishnamurti, Bh.; and Brett A. Benham. 1998. Konda. The Dravidian languages, ed. by Sanford B. Steever, 241–269. Routledge language family descriptions. London ; New York: Routledge.		0	17.6868159	83.2184815			0
195	Polish (Standard)	pol		3	16	2	Ostaszewska, Danuta; Tambor, Jolanta. 2000. Fonetyka i fonologia współczesnego języka polskiego. Warszawa: Wydawnictwo naukowe PWN	/ĩ̯/ might be non-phonemic.	0	52.2	21.0			0
196	Macedonian (Standard)	mkd		3	16	2	Friedman, Victor. 2001. Macedonian. SEELRC		0	42.0	21.4			0
197	Kildin Saami	sjd		15	101	2	Куруч, Р.Д. 1985. Краткий грамматический очерк саамского языка. Москва: Русский язык	Geminates are opposed to long consonants, but there seems to be no need to postulate half-long consonants.	0	68.0	35.0			0
198	Friulian	fur		3	15	3	Miotti, Renzo. 2002. Journal of the International Phonetic Association 32(2). 237–247.	The voiced affricate /dz̪/ is a peripheral phoneme in the consonant inventory of central Friulian, restricted to a small number of words, mainly of Italian or Venetian origin...It is to be pointed out that most authors do not include /ʒ/ among the phonemes of central Friulian, preferring to assign it to /z/. Nevertheless, since our data show that /ʒ/ is in complementary distribution with /z/ in prevocalic position, we are inclined to regard it as a distinct phonemic unit... /ɛː, ɔː/ are very rare in central Friulian, being frequently replaced with /eː, oː/... In unstressed position, only /i, e, a, o, u/ may be found (Miotti 2002).	0	46.0560624	13.2441624			0
199	Nganasan (Avam)	nio		15	102	2	"Терещенко, Н.М. 1979. Нганасанский язык. Ленинград: ""Наука"", Ленинградское отделение"	/ð/ can be infrequently realized as [d̪ð], which theoretically should be analyzed as the main (unlenited) allophone. /ɐ, a/ can be alternatively treated as /a, æ/. The 'diphthongs' (except u̯ɑ) consitute two syllables.	0	71.1	92.8			0
200	Kharia (Dudh)	khr		8	63	2	Peterson, John. 2011. A grammar of Kharia, a South Munda language. Leiden/Boston: BRILL		0	23.3	85.3			0
201	Serbian (Standard Ekavian)	srp		3	16	2	Morén, Bruce. 2005. Consonant-vowel interactions in Serbian: features, representations and constraint interactions. Tromsøː Center for Advanced Study of Theoretical Linguistics	Pitch accent present.	0	44.8	20.5			0
202	dGudzong Tibetan			4	41	1	Hiroyuki Suzuki. 2011. Phonetic Analysis of dGudzong Tibetan The Vernacular of Khams Tibetan spoken in the rGyalrong Area. Bulletin of the National Museum of Ethnology 35(4): 617–653.	There is a good distributional case for initial clusters to be considered single phonemes (cf. Sogpho Tibetan), which would blow up the inventory.	0	30.792712	101.933506			0
203	Khalkhal	tks		3	14	2	Asadi, Mohammad; Mehdi Bagheri Hariry; Razzagh Kiyani. 2014. Phonetic and Phonological Investigation of Tati Kajal Dialect (Khalkhal). Theory and Practice in Language Studies 4(3), 568-574. Finland: Academy Publisher	The source describes the differences from Farsi rather than offers a reference synchronic description. This is, however, sufficient to postulate a phonological inventory given here.	0	38.25	48.3			0
204	Dhimal	dhi		4	25	1	King John T. 2009. A grammar of Dhimal. Brill’s Tibetan studies library. Languages of the greater Himalayan region v. 5/8. Leiden ; Boston: Brill.	G — glide.	0	26.0	87.5			0
205	Tausug (Jolo)	tsg		14	91	2	Soderberg, Craig; Seymour, A. Ashley; Kenneth S. Olson. 2012. Tausug (Suluk). Journal of the International Phonetic Association, 42, 361-­364.	/tʃ/ is non-existent in some idiolects. /ɾ/ and /z/ occur exclusively in borrowings.	0	6.0	121.0			0
206	Oriya	ory		3	11	1	Ray, Tapas S. 2003. Oriya. The Indo-Aryan Languages, ed. by Dhanesh Jain and George Cardona, 444–476. Routledge.		0	20.9516658	85.0985236			0
207	Dolgan	dlg		16	109	2	Убрятова, Е.И. 1985. Язык норильских долган. Новосибирск: Наука	/h/ and /s/ contrast only marginally. /ɬˠ/ and /r̥/ appear as a result of fusion of /rt/ and /ɫt/ before consonants.	0	69.5	87.5			0
208	Karelian (North)	krl		15	96	2	Зайков, П.М. 1999. Грамматика карельского языка (фонетика и морфология). Петрозаводск: Периодика		0	65.9	31.8			0
209	Yaghnobi	yai		3	14	2	Хромов, А.Л. 1987. Ягнобский язык. Основы иранского языкознания (ed.: Расторгуева, В.С.). Новоиранские языки II. – Восточная группа, 644-701. Москва		0	39.2163889	69.0633333			0
210	Kurtoep			4	26	1	Hyslop, Gwendolyn. 2011. A Grammar of Kurtoep. University of Oregon. Ph.D. thesis.		0	27.728893	91.175053			0
211	Tagalog	tgl		14	91	2	Bloomfield, Leonard. 1917. Tagalog texts with grammatical analysis, part 1. University of Illinois.	/tʃ/, /dʒ/, /ts/, /ʃ/, /ɲ/, /ɛ/, /o/ are normally not found in native vocabulary.	0	14.6	121.0			0
212	German (Standard)	deu		3	8	3	Hall, Tracy Alan. 2000. Phonologie. Eine Einführung. Berlin: Walter de Gruyter.		0	52.3796664	9.7614715			0
213	Remo (Hills variety)	bfw		8	63	1	Anderson, Gregory D.S.; and K. David Harrison. 2008. Remo (Bonda). The Munda Languages, ed. by Gregory D.S. Anderson, 557–632. Routledge language family series. London: Routledge. (Based on Fernandez, Frank [1968]. A Grammatical Sketch of Remo: A Munda Language. Ph.D. thesis. University of North Carolina at Chapel Hill.)		0	18.49309	83.005			0
214	Lao (Vientiane)	lao		9	70	1	Enfield, N. J. 2007. A grammar of Lao. Mouton grammar library 38. Berlin ; New York: Mouton de Gruyter.	Gedney (Gedney and Hudak 1997) has /ɤ/ instead of /ə/, his inventory of tones consists of 14, 22, 21ʔ, 33, 53ʔ, 55ʔ, and he has initial clusters kw and kʰw.	0	17.966667	102.6			0
215	Kumyk	kum		16	107	2	Doniyorova, Saodat. 2004. Parlons koumyk. Paris/Budapest/Torino: L'Harmattan		0	43.0	47.0			0
216	Komi-Zyrian (Syktyvkar)	kpv		15	99	2	Лыткин, В.И. (ed.) 1955. Современный коми язык. Сыктывкар: Коми книжное издательство	/t̻s̻/, /f/, /rʲ/, /x/ are restricted to recent borrowings. /l/ and /v/ are not contrasted syllable-finally.	0	61.7	50.8			0
217	Dutch	nld		3	8	3	Gussenhoven, Carlos. 1999. Ilustrations of the IPA: Dutch. Handbook of the International Phonetic Association. Cambridge University Press. 74-77.	The vowels in brackets are marginal in the language. Main stress falls on the antepenult, the penult, or the final syllable of the word if the penult is open, and on the penult or the final syllable if the penult is closed.	0	52.3747157	4.8986167			0
218	Beserman (Šamardan)			15	99	2	Идрисов, Р.И. 2013. Тюркские заимствования разных периодов в бесермянском диалекте удмуртского языка. Москва: Московский государственный университет		0	58.02	52.15			0
219	Soghpo Tibetan			4	41	1	Suzuki, Hiroyuki. 2011. Dialectal particularities of Sogpho Tibetan – an introduction to the “Twenty-four villages’ patois.” In Turin, Mark; and Bettina Zeisler. 2011. Himalayan Languages and Linguistics: Studies in Phonology, Semantics, Morphology and Syntax, 55–73.	A monster. Independent verification is definitely in order.	0	30.851	101.926			0
220	Baoan (Ñantoq)	peh		7	55	1	Nugteren, Hans. 2011. Mongolic Phonology and the Qinghai-Gansu Languages. Utrecht: Netherlands Graduate School of Linguistics / Landelijke (LOT)		0	35.83197	102.73512			0
221	Daur	dta		7	52	2	Wu, Chaolu (Ujiyediin Chuluu). 1996. Daur. München/Newcastle: Lincom Europa		0	48.5	124.5			0
222	Northern Cuona			4	41	1	Namkung, Ju. 1996. Phonological inventories of Tibeto-Burman languages. Berkley: Sino-Tibetan Etymological Dictionary and Thesaurus Project, Center for Southeast Asia Studies, University of California.		0	29.36377	95.34408			0
223	North Azerbaijani (Shirvan)	azj		16	105	2	Ширалиев, М.Ш.; Севортян, Э.В. (eds.) 1971. Грамматика азербайджанского языка (фонетика, морфология и синтаксис). Баку: ЭЛМ		0	39.93	48.92			0
224	Yue Chinese (Hong Kong Cantonese)	yue		4	38	1	Zee, Eric. 1991. Chinese (Hong Kong Cantonese). Journal of the International Phonetic Association 21.46–48.		0	22.396428	114.109497			0
225	Northern Qiang (Yadu)	cng		4	37	1	LaPolla, Randy J. 2003. Qiang. The Sino-Tibetan languages, ed. by Graham Thurgood and Randy J. LaPolla, 573–587. Routledge language family series 3. London: Routledge.	G — glide, F — fricative	0	31.881457	103.367241			0
226	Labrang Tibetan			4	41	1	Makley, Charlene; Keith Dede; Hua Kan; and Wang Qingshan. 1999. The Amdo Dialect of Labrang. Linguistics of the Tibeto-Burman Area 22.97–127.		0	35.204	102.52			0
227	Catalan (Central)	cat		3	15	2	Lloret, Maria-Rosa. 2011. La fonologia del català. Col. «El que sabem de...» Articles de suport a la docència. Barcelona: Santillana.	T = obstruent	0	41.4	2.2			0
228	Kamassian	xas		15	102	2	Simoncsics, Péter. 1998. Kamassian. The Uralic Languages (ed.: Abondolo, Daniel), 580-601. London: Routledge		0	55.0694491	94.8239931			0
229	Malto	mjt		12	78	1	Steever, Sanford B. 1998. Malto. The Dravidian languages, ed. by Sanford B. Steever, 359–387. Routledge language family descriptions. London ; New York: Routledge.	Initial clusters occur in two borrowed words: prani ‘life’, praja ‘tent’.	0	25.0	87.0			0
230	Upper Sorbian	hsb		3	16	2	Ермакова, М.И. 1973. Очерк грамматики верхнелужицкого литературного языка. Морфология. Москва: Наука; Šewc-Schuster, Hinc. 1984. Gramatika hornjo-serbskeje rěče, Budyšin: Ludowe nakładnistwo Domowin		0	51.2	14.4			0
231	Votic (Jõgõperä)	vot		15	96	2	Маркус, Е.Б., Рожанский, Ф.И. 2011. Современный водский язык. Тексты и грамматический очерк. Том 2. Грамматический очерк и библиография. Санкт-Петербург: Нестор-История		0	59.65	28.28			0
232	Slavomolisano (Acquaviva Collecroce)	svm		3	16	2	Breu, Walter; Giovanni Piccoli; Snježana Marčec. 2000. Dizionario croato molisano di Acquaviva Collecroce. Dizionario plurilingue della lingua slava della minoranza di provenienza dalmata di Acquaviva Collecroce in Provincia di Campobasso. Dizionario, registri, grammatica, testi. Campobasso	Some people use [ɣ] as a hiatus-filling consonant. Many substitute /j/ for /ʎ/, /ɟ/ for /gʎ/, /c/ for /kʎ/. Many substitute [v̊] or [f] for /sv/. Many substitute /ɛr/ for /r̩/. /w/ and /j/ may also be described as allophones of /u/, /v/, /i/ and prothetic processes. /f, dz, dʒ, ɟ, ç, ɛ, ɔ/ occur almost exclusively in borrowings. Pitch accent is present, distinguishing descending and ascending stress. Vowel length is contrastive only in syllable with descending stress.	0	41.87	14.75			0
233	Occitan (Gascon)	oci		3	15	2	Romieu, Maurice; André Bianchi. 2005. Gramatica de l'occitan gascon contemporanèu. Presses universitaires de Bordeaux	/yi̯/ is often reduced to /y/.	0	45.0	-0.5			0
234	Danish	dan		3	8	3	Grønnum, Nina. 1998. Journal of the International Phonetic Association 28(1–2). 99–105.	Note that in a narrower transcription the aspirated plosives would be rendered as [b̥ʰ, d̥ˢ, g̊ʰ], since they are in fact lenis (Grønnum 1998: 100). The diphthongs can all be analyzed phonologically as consonant-vowel and vowelconsonant sequences, respectively (Grønnum 1998: 102). Stød is a kind of creaky voice. It occurs in long vowels and in phonetically voiced (sonorant) consonants. Presence vs absence of stød create an abundance of minimal contrasts...Stød is then a property of bi-moraic syllables (Grønnum 1998: 102).	0	55.6712673	12.5608388			0
235	Miyako (Ogami)	mvi		13	84	2	Pellard, Thomas. 2009. Ogami: Éléments de description d'un parler du sud des Ryukyus. Paris: École des hautes études en sciences sociales	/b/, /d/, /g/, /ts/, /tɕ/ occur marginally. X = pʰ, m, f, ʋ, s, ɾ, n, tʰ, kʰ, m̩, n̩, ʋ̩, s̩, f̩ Y = m̩, n̩, ʋ̩ W = s̩, f̩, i̞, ɯ̞, ʊ, e̞, ä Z = m, f, ʋ, s, n	0	24.9156478	125.307708			0
236	Karaim (Northwestern)	kdr		16	107	2	Nevins, Andrew; Vaux, Bert. 2004. Consonant Harmony in Karaim. MITWPL 46, The Proceedings of the Workshop on Altaic in Formal Linguistics, ed. Aniko Csirmaz, Youngjoo Lee, and MaryAnn Walter, 175—194.		0	54.6379113	24.9346894			0
237	Solu Sherpa (Hile)	xsr		4	41	1	Graves, Thomas E. 2007. A grammar of Hile Sherpa. State University of New York at Buffalo.		0	27.501358	86.730984			0
238	Welsh (Llanwrtyd)	cym		3	7	3	Jones, Glyn E. 1984. The Distinctive Vowels and Consonants of Welsh. Welsh Phonology: Selected Readings, edited by Martin J. Ball and Glyn E. Jones. Cardiff, University of Wales Press.		0	52.107586	-3.637427			0
239	Yolmo	scp		4	41	1	Gawne, Lauren. 2013. Lamjung Yolmo copulas in use: evidentiality, reported speech and questions. University of Melbourne.	The data were collected in Lamjung, but the coordinates are given for Helambu area from where the Yolmo immigrated to Lamjung district about 100 years ago.	0	28.031738	85.531783			0
240	Eastern Yugur	yuy		7	55	1	Nugteren, Hans. 2011. Mongolic Phonology and the Qinghai-Gansu Languages. Utrecht: Netherlands Graduate School of Linguistics / Landelijke (LOT)		0	38.7939	99.57835			0
241	Dhivehi (Malé)	div		3	11	2	Cain, Bruce Dwayne. 2000. Dhivehi (Maldivian): a synchronic and diachronic study. Cornell University	Some other unstable phonemes might enter through Arabic borrowings.	0	4.1754959	73.509347			0
242	Khalong Tibetan			4	41	1	Sun, Jackson T.-S. 2007. Perfective stem renovation in Khalong Tibetan. In Bielmeier, Roland, and Felix Haller (eds.) Linguistics of the Himalayas and Beyond. Berlin, New York: Walter de Gruyter, 323–340.		0	32.10872	100.98728			0
243	Eastern Hill Balochi	bgp		3	14	2	Elfenbein, Josef. 1997. Balochi phonology. Kaye, Alan S., and Peter T. Daniels (eds.) Phonologies of Asia and Africa (including the Caucasus). Vol. 1, 761–776. Winona Lake, Indiana: Eisenbrauns	/ʔ/ and /q/ are found in careful educated speech. /β/ is marginally phonemic. Although /bʰ/, /gʰ/, /dʰ/, /dʒʰ/, /ɖʰ/, /wʰ/ are called non-phonemic in Elfenbein 1997, their occurence is not predictable.	0	29.0	69.0			0
244	Southwestern Pashto (Kandahar)	pbt		3	14	2	Elfenbein, Josef. 1997. Pashto phonology. Kaye, Alan S., and Peter T. Daniels (eds.) Phonologies of Asia and Africa (including the Caucasus). Vol. 1, 733–760. Winona Lake, Indiana: Eisenbrauns		0	31.6	65.7			0
245	Saek	skb		9	70	1	Gedney, William J. 1993. William J. Gedney’s the Saek language: glossary, texts, and translations. Michigan papers on South and Southeast Asia no. 41. Center for South and Southeast Asian Studies, University of Michigan.		0	17.455271	104.742016			0
246	Puxi	jih		4	37	1	Huang, Chenglong. 2004. A Reference Grammar of the Puxi Variety of Qiang. City University of Hong Kong.	F — fricative, B — bilabial	0	31.526355	103.258162			0
247	Irish (Gaoth Dobhair)	gle		3	7	3	Ní Chasaide, Ailbhe. 1999. Irish. Handbook of the International Phonetic Association, 111-116. Cambridge: Cambridge University Press.		0	55.0743443	-8.2941873			0
