iso_code	inventory_id	name	Contributor_ID	count_phonemes	count_consonants	count_vowels	count_tones	glot_fam	pop	forty_mean	continent	names	p_a	source	wals_code	wals_value	wals_p_a	round_count_tones	lat	lon
drd	multiple	Darmiya	multiple	38	30	8	0.67	Sino-Tibetan	1750	3.053	S/SE Asia	DARMIYA	1	phoible	NA	NA	NA	1	30	79.75
drl	2876	Southern Paakintyi	ER	26	20	6	0	Pama-Nyungan	22	4.779	Australia	DARLING	0	phoible	NA	NA	NA	0	-32.5	142.5
dru	NA	NA	NA	NA	NA	NA	0	Austronesian	10500	5.286	S/SE Asia	BUDAI_RUKAI,MAGA_RUKAI,MANTAURAN,MANTAURAN_RUKAI,RUKAI,TANAN_RUKAI,TONA_RUKAI	0	wals	ruk	1	0	NA	22.83	120.83
dry	518	Darai	EA	NA	NA	NA	0	Indo-European	11700	3.941	S/SE Asia	DARAI,DARAI_2	0	phoible	dar	1	0	0	24	84
dsb	multiple	Lower Sorbian	multiple	42	35	7	0	Indo-European	6670	4.175	W and SW Eurasia	LOWER_SORBIAN,LOWER_SORBIAN_2	0	phoible	NA	NA	NA	0	51.75	14.33
dsq	1372	Tadaksahak	GM	70	59	11	0	Songhay	101800	4.375	Africa	TADAKSAHAK	0	phoible	NA	NA	NA	0	15.52	2.13
dta	multiple	Daur	multiple	57	45	12	0	Mongolic	96100	3.681	N-C Asia	DAUR,TACHENG_DAGUR	0	phoible	dgr	1	0	0	48	124
dts	699	dogon	AA	42	21	21	0	Dogon	50000	3.6	Africa	DOGON,TORO_SO,TORO_SO_2,TORO_SO_3	0	phoible	dts	2	1	0	14.5	-3.33
dua	700	duala	AA	33	21	7	5	Atlantic-Congo	87700	3.264	Africa	DUALA,DUALA_2	1	phoible	NA	NA	NA	5	4	9.42
dug	multiple	duruma	multiple	48	41	5	2	Atlantic-Congo	397000	3.839	Africa	DURUMA	1	phoible	NA	NA	NA	2	-3.78	39.08
duo	multiple	Dupaningan Agta	multiple	21	15	6	0	Austronesian	1200	5.338	S/SE Asia	DUPANINGAN_AGTA	0	phoible	NA	NA	NA	0	17.83	122.17
dwr	NA	NA	NA	NA	NA	NA	NA	Ta-Ne-Omotic	533000	4.506	Africa	KULLO,KULLO_2	1	wals	kul	2	1	NA	6.75	37.08
dwu	NA	NA	NA	NA	NA	NA	0	Pama-Nyungan	300	5.319	Australia	DHUWAL,DJAPU	0	wals	djp	1	0	NA	-12.67	136.75
dyn	2991	Thanggati	ER	19	13	6	0	Pama-Nyungan	NA	5.028	Australia	DYANGADI	0	phoible	NA	NA	NA	0	-30.75	152.75
dyo	737	joola	AA	29	19	10	0	Atlantic-Congo	397100	4.411	Africa	DIOLA,JOLA,JOOLA_FOGNY,JOOLA_FOGNY_10,JOOLA_FOGNY_11,JOOLA_FOGNY_12,JOOLA_FOGNY_13,JOOLA_FOGNY_14,JOOLA_FOGNY_15,JOOLA_FOGNY_16,JOOLA_FOGNY_17,JOOLA_FOGNY_18,JOOLA_FOGNY_2,JOOLA_FOGNY_3,JOOLA_FOGNY_4,JOOLA_FOGNY_5,JOOLA_FOGNY_6,JOOLA_FOGNY_7,JOOLA_FOGNY_8,JOOLA_FOGNY_9	0	phoible	dio	1	0	0	13	-16
dyu	696	dioula	AA	39	23	14	2	Mande	2208000	3.555	Africa	JULA_DE_KONG,JULA_VEHICULAIRE	1	phoible	NA	NA	NA	2	9.09	-4.6
dyy	2890	Djabugay	ER	19	13	6	0	Pama-Nyungan	28	5.103	Australia	DYAABUGAY	0	phoible	NA	NA	NA	0	-16.75	145.58
dzg	693	daza	AA	32	21	11	0	Saharan	582000	3.641	Africa	DAZAGA	0	phoible	NA	NA	NA	0	16	15
dzo	multiple	Dzongkha	multiple	58	32	26	2	Sino-Tibetan	237080	3	S/SE Asia	DZONGKHA	1	phoible	NA	NA	NA	2	27.5	89.6
efi	NA	NA	NA	NA	NA	NA	NA	Atlantic-Congo	405260	3.487	Africa	EFIK,EFIK_2	1	wals	efi	2	1	NA	4.92	8.5
ega	1233	Ega	PH	39	27	9	3	Atlantic-Congo	2500	3.703	Africa	EGA	1	phoible	NA	NA	NA	3	5.5	-5.5
ego	873	Eggon	PH	42	30	7	5	Atlantic-Congo	140000	3.513	Africa	EGGON	1	phoible	NA	NA	NA	5	8.67	8.58
ekg	NA	NA	NA	NA	NA	NA	NA	Nuclear_Trans_New_Guinea	100000	3.895	NG and Oceania	KAPAUKU	1	wals	eka	2	1	NA	-3.83	135.5
ekk	multiple	Estonian	multiple	40	31	9	0	Uralic	1144670	3.806	N-C Asia	ESTONIAN,ESTONIAN_2,ESTONIAN_3,ESTONIAN_4	0	phoible	NA	NA	NA	0	59	26
ekm	969	Nulibie	PH	30	19	7	4	Atlantic-Congo	6400	2.859	Africa	LIBIE	1	phoible	NA	NA	NA	4	4.55	11.12
ekp	874	Ekpeye	PH	37	24	9	4	Atlantic-Congo	30000	3.833	Africa	EKPEYE	1	phoible	NA	NA	NA	4	5	6.67
eky	NA	NA	NA	NA	NA	NA	NA	Sino-Tibetan	26000	2.897	S/SE Asia	KAYAH_LI_EASTERN	1	wals	kyl	3	1	NA	19	97.5
ell	multiple	Modern Greek	multiple	29.75	24.75	5	0	Indo-European	13098380	4.719	W and SW Eurasia	GREEK,MODERN_GREEK	0	phoible	grk	1	0	0	39	22
ema	707	emai	AA	48	27	21	0	Atlantic-Congo	100000	3.053	Africa	AOMA,EMAI	0	phoible	NA	NA	NA	0	7.08	5.92
emk	777	manding	AA	36	20	14	2	Mande	3591000	3.444	Africa	MANINKA_KANKAN,MANINKAKAN_EASTERN	1	phoible	NA	NA	NA	2	10.75	-9.5
enb	875	Endo	PH	36	13	20	3	Nilotic	180000	3.481	Africa	ENDO	1	phoible	NA	NA	NA	3	1.08	35.58
enf	multiple	Forest Enets	multiple	33	25	8	0	Uralic	40	3.816	N-C Asia	FOREST_ENETS,FOREST_ENETS_2	0	phoible	NA	NA	NA	0	67.5	86.5
eng	multiple	English	multiple	41.22	24.44	16.67	0.1	Indo-European	378250540	3.381	W and SW Eurasia	ENGLISH,ENGLISH_2	1	phoible	eng	1	0	0	52	0
enn	708	engenni	AA	33	20	10	3	Atlantic-Congo	20000	3.306	Africa	EGENE,ENGENNI	1	phoible	NA	NA	NA	3	5.17	6.38
err	2648	Erre	ER	23	18	5	0	Giimbiyu	NA	6.139	Australia	ERRE	0	phoible	NA	NA	NA	0	-12.25	132.83
ess	NA	NA	NA	NA	NA	NA	0	Eskimo-Aleut	1200	5.525	N-C Asia	CENTRAL_SIBERIAN_YUPIK,ST_LAWRENCE_YUPIK,YUPIK_CENTRAL_SIBERIAN_CHAPLINO	0	wals	yus	1	0	NA	63.5	-170.5
eto	1563	Eton	GM	38	21	15	2	Atlantic-Congo	250000	2.784	Africa	ETON,ETON_CAMEROON	1	phoible	NA	NA	NA	2	4.25	11.5
ets	1110	Etsako	PH	36	26	7	3	Atlantic-Congo	274000	3.176	Africa	AUCHI,AVBIANWU,YEKHEE	1	phoible	NA	NA	NA	3	7.25	6.5
etu	multiple	ejagham de l'ouest	multiple	30.5	20	7	3.5	Atlantic-Congo	116700	2.811	Africa	BENDEGHE,BENDEGHE_2,EJAGHAM,EKOI,ETUNG_N,ETUNG_S,KEAKA,OBANG	1	phoible	eja	3	1	4	5.42	8.67
etx	1533	Iten	GM	74	63	6	5	Atlantic-Congo	40000	3.857	Africa	ITEN	1	phoible	NA	NA	NA	5	9.73	8.63
eus	multiple	Basque	multiple	32.86	23.71	8.86	0.18	Basque	537860	4.469	W and SW Eurasia	BASQUE,BASQUE_2	1	phoible	bsq	1	0	0	43	-3
eve	multiple	Even	multiple	36	18	18	0	Tungusic	5660	4.331	N-C Asia	EVEN,EWEN	0	phoible	evn	1	0	0	68	130
evn	multiple	Evenki	multiple	27	17.5	9.5	0	Tungusic	15800	4.34	N-C Asia	EVENKI,EVENKI_POLIGUS_LITERARY,EWENKI_1,EWENKI_2,KUR_URMI,SOLON	0	phoible	eve	1	0	0	56	125
ewe	multiple	Ewe	multiple	43.5	27.5	13	3	Atlantic-Congo	4185760	3.172	Africa	EWE_ADANGBE	1	phoible	ewe	2	1	3	6.33	0.42
ewo	709	ewondo	AA	25	15	7	3	Atlantic-Congo	578000	3.147	Africa	A72a_EWONDO,EWONDO,EWONDO_2,EWONDO_3,EWONDO_4	1	phoible	ewo	3	1	3	4	12
eya	NA	NA	NA	NA	NA	NA	0	Athabaskan-Eyak-Tlingit	NA	4.013	W N America	EYAK	0	wals	eya	1	0	NA	60.5	-145
faa	NA	NA	NA	NA	NA	NA	NA	Fasu	1200	4.52	NG and Oceania	FASU,NAMUMI	1	wals	fas	2	1	NA	-6.58	143.33
fak	1621	Fang	GM	36	23	10	3	Atlantic-Congo	4000	3.1	Africa	FANG	1	phoible	NA	NA	NA	3	6.54	10.32
fao	multiple	Faroese	multiple	36	16	20	0	Indo-European	69000	4.125	W and SW Eurasia	FAROESE	0	phoible	NA	NA	NA	0	62	-7
fap	1324	Ndut-Falor	GM	43	26	17	0	Atlantic-Congo	12000	3.333	Africa	PALOR,PALOR_2,PALOR_3	0	phoible	NA	NA	NA	0	14.89	-16.92
ffm	714	fulfulde	AA	37	27	10	0	Atlantic-Congo	1045440	4.812	Africa	FULA_MAASINA,FULFULDE_MAASINA	0	phoible	NA	NA	NA	0	15.5	-3.5
fia	152	Mahas-Fiyadikka	SPA	45	33	10	2	Nubian	669000	3.515	Africa	NOBIIN	1	phoible	nob	2	1	2	21	31
fij	NA	NA	NA	NA	NA	NA	0	Austronesian	341270	4.974	NG and Oceania	FIJIAN,FIJIAN_2	0	wals	fij	1	0	NA	-17.83	178
fin	multiple	Finnish	multiple	32.5	20	12.5	0	Uralic	5513000	4.356	N-C Asia	FINNISH,FINNISH_2	0	phoible	fin	1	0	0	62	25
fip	1659	Fipa	GM	35	20	14	1	Atlantic-Congo	713000	3.861	Africa	FIPA	1	phoible	NA	NA	NA	1	-8	31.3
fli	1377	Kirya-Konzɘl	GM	50	38	7	5	Afro-Asiatic	25000	4.293	Africa	FALI_BAGIRA,FALI_MUCHELLA	1	phoible	NA	NA	NA	5	10.4	13.3
flr	multiple	fuliru	multiple	35.5	24.5	10	1	Atlantic-Congo	400000	3.903	Africa	FULIRU	1	phoible	NA	NA	NA	1	-3.08	29
fmp	710	fe'efe'fe	AA	44	23	16	5	Atlantic-Congo	140000	2.716	Africa	FEFE_1,FEFE_2	1	phoible	fef	3	1	5	5.25	10.17
fon	711	fɔn	AA	42	24	14	4	Atlantic-Congo	1935500	3.099	Africa	FON_GBE,FONGBE	1	phoible	NA	NA	NA	4	7.3	2.2
fra	multiple	French	multiple	36.67	21.33	15.33	0	Indo-European	76795640	3.025	W and SW Eurasia	FRENCH,FRENCH_2	0	phoible	fre	1	0	0	48	2
frp	383	Francoprovençal (St. Martin-en-Haut)	EA	NA	NA	NA	0	Indo-European	227000	3.258	W and SW Eurasia	ARPITAN	0	phoible	NA	NA	NA	0	45.77	4.83
frr	385	Frisian (North)	EA	NA	NA	NA	0	Indo-European	10000	3.6	W and SW Eurasia	NORTH_FRISIAN_AMRUM	0	phoible	NA	NA	NA	0	54.65	8.35
fry	multiple	Frisian (West)	multiple	51	19	32	0	Indo-European	845100	3.85	W and SW Eurasia	FRISIAN_WESTERN	0	phoible	NA	NA	NA	0	53	6
fub	multiple	fulfulde	multiple	40	30	10	0	Atlantic-Congo	1007500	4.592	Africa	FULFULDE_ADAMAWA,FULFULDE_ADAMAWA_2	0	phoible	NA	NA	NA	0	9.17	13.5
fuc	809	pulaar	AA	38	28	10	0	Atlantic-Congo	4476000	4.641	Africa	FULA,PULAAR_FUTA_TOORO	0	phoible	NA	NA	NA	0	15	-14
fuf	810	pular	AA	38	28	10	0	Atlantic-Congo	3808200	4.583	Africa	PULAR,PULAR_FUUTA_JALON,PULAR_FUUTA_JALON_2,PULAR_FUUTA_JALON_3	0	phoible	NA	NA	NA	0	11.5	-12.5
fuh	715	fulfulde	AA	32	27	5	0	Atlantic-Congo	1650000	4.821	Africa	FULA_BURKINA_FASO,FULA_NIGER_BURKINA_FASO	0	phoible	NA	NA	NA	0	14	0
fun	NA	NA	NA	NA	NA	NA	NA	Fulnio	1000	4.2	S America	FULNIO	1	wals	ful	2	1	NA	-8	-37.5
fuq	713	fulfulde	AA	37	27	10	0	Atlantic-Congo	450000	4.824	Africa	CENTRAL_EASTERN_NIGER_FULFULDE	0	phoible	NA	NA	NA	0	15.09	8.43
fur	multiple	Friulian	multiple	39	25	14	0	Indo-European	300000	4.025	W and SW Eurasia	FRIULIAN	0	phoible	NA	NA	NA	0	46.17	12.9
fuv	multiple	fulfulde (NGA)	multiple	47.5	37.5	10	0	Atlantic-Congo	14485000	4.533	Africa	FULA_KANO_KATSINA_BORORO,FULA_KANO_KATSINA_BORORO_2,FULFULDE	0	phoible	NA	NA	NA	0	12.5	8
fvr	NA	NA	NA	NA	NA	NA	NA	Furan	745800	3.671	Africa	FUR	1	wals	fur	2	1	NA	13.5	25
gaa	multiple	Ga	multiple	42.5	28	12	2.5	Atlantic-Congo	745000	3.15	Africa	GA	1	phoible	ga	3	1	2	5.67	-0.17
gag	multiple	Gagauz (Standard)	multiple	46	28	18	0	Turkic	566720	4.227	N-C Asia	GAGAUZ	0	phoible	NA	NA	NA	0	46.33	28.67
gaj	56	Gadsup	SPA	19	9	6	4	Nuclear_Trans_New_Guinea	22100	5.039	NG and Oceania	GADSUP	1	phoible	gds	3	1	4	-6.25	146
gaq	multiple	Didayi	multiple	39	23.5	15.5	0	Austroasiatic	3060	4.172	S/SE Asia	GATA	0	phoible	NA	NA	NA	0	18.8	82.7
gax	1362	Galla	GM	36	26	10	0	Afro-Asiatic	3949600	4.502	Africa	BORANA_OROMO,BORANA_OROMO_2,ORMA_2	0	phoible	NA	NA	NA	0	4.5	38.5
gbb	2711	Kaytetye	ER	43	40	3	0	Pama-Nyungan	150	5.537	Australia	KAYTETYE,KAYTETYE_2	0	phoible	NA	NA	NA	0	-19.38	134.1
gbj	multiple	Gutob	multiple	38	19	19	0	Austroasiatic	8000	3.838	S/SE Asia	BODO_GADABA	0	phoible	NA	NA	NA	0	19	83.67
gbp	multiple	Gbeya	multiple	45	30	12	3	Atlantic-Congo	200000	3.228	Africa	GBAYA_BOSSANGOA,GBAYA_BOSSANGOA_2,GBEYA	1	phoible	gbb	2	1	3	6.48	17.45
gbr	NA	NA	NA	NA	NA	NA	NA	Atlantic-Congo	700000	4.406	Africa	GBAGYI,GBAGYI_SHAITA	1	wals	gwa	3	1	NA	9.7	6.95
gbu	2653	Gaagudju	ER	27	17	10	0	Gaagudju	NA	5.743	Australia	GAAGUDJU	0	phoible	NA	NA	NA	0	-12.62	132.83
gcd	3001	Gangalidda	ER	24	18	6	0	Tangkic	1	5.827	Australia	GANGGALIDA,GANGULIDA	0	phoible	NA	NA	NA	0	-17.33	138.83
gdb	multiple	Ollari	multiple	36.5	20.5	16	0	Dravidian	15000	4.033	S/SE Asia	OLLARI_GADBA	0	phoible	NA	NA	NA	0	18.6	82.76
gde	multiple	guɗe	multiple	36	30	4	2	Afro-Asiatic	88000	4.057	Africa	GUDE	1	phoible	NA	NA	NA	2	10.42	13.42
gdo	multiple	Godoberi	multiple	66	53	13	0	Nakh-Daghestanian	130	4.211	W and SW Eurasia	GODOBERI	0	phoible	NA	NA	NA	0	42.67	46.08
gdq	multiple	Mehri (Oman)	multiple	45	31	14	0	Afro-Asiatic	165900	4.694	Africa	MEHRI,MEHRI_2	0	phoible	NA	NA	NA	0	17	51.5
gej	multiple	gɛn-mina	multiple	42	26	13	3	Atlantic-Congo	325000	3.25	Africa	GEN	1	phoible	NA	NA	NA	3	6.25	1.75
gel	1535	West Kainji	GM	56	36	16	4	Atlantic-Congo	36000	3.385	Africa	FAKAI_A,ROR,ROR_2	1	phoible	NA	NA	NA	4	11.5	4.83
gge	2677	Gurr-Goni	ER	27	22	5	0	Maningrida	60	5.458	Australia	GURAGONE	0	phoible	NA	NA	NA	0	-12.25	134.42
ggk	2675	Kungarakany	ER	22	17	5	0	Kungarakany	NA	4.814	Australia	KUNKARAKANY	0	phoible	NA	NA	NA	0	-12	131
ggu	1562	Gban	GM	36	20	12	4	Mande	60000	2.304	Africa	GAGU	1	phoible	NA	NA	NA	4	6.5	-5.5
gia	2674	Kija	ER	24	19	5	0	Jarrakan	210	5.703	Australia	KITJA	0	phoible	NA	NA	NA	0	-17.5	127.75
gid	901	Kada	PH	38	28	8	2	Afro-Asiatic	65700	3.828	Africa	GIDAR	1	phoible	NA	NA	NA	2	10	14
gih	2713	Gidabal	ER	21	13	8	0	Pama-Nyungan	20	5.051	Australia	GIDABAL	0	phoible	NA	NA	NA	0	-28.29	152.15
gil	NA	NA	NA	NA	NA	NA	0	Austronesian	118401	4.284	NG and Oceania	KIRIBATI	0	wals	krb	1	0	NA	1.33	173
gin	71	Hinuq	EA	NA	NA	NA	0	Nakh-Daghestanian	5	3.5	W and SW Eurasia	HINUKH	0	phoible	NA	NA	NA	0	42.17	46
gis	1624	Gisiga	GM	37	29	3	5	Afro-Asiatic	20000	3.971	Africa	NORTHERN_GIZIGA	1	phoible	NA	NA	NA	5	10.33	14.17
gjn	724	gonja	AA	39	23	14	2	Atlantic-Congo	310000	4.264	Africa	GONJA,GONJA_2	1	phoible	NA	NA	NA	2	8.8	-0.75
gju	1724	Gojri	RA	57	35	19	3	Indo-European	1005000	3.12	W and SW Eurasia	AGRA_GUJARI,CENTRAL_AZAD_KASHMIR_GUJARI,CHITRAL_GUJARI,DIR_GUJARI,GILGIT_GUJARI,KAGHAN_GUJARI,KUNAR_GUJARI,MENDHAR_GUJARI,NORTHERN_AZAD_KASHMIR_GUJARI,SETTLED_SWAT_GUJARI,SOUTHERN_AZAD_KASHMIR_GUJARI,SOUTHERN_HAZARA_GUJARI,TRANSHUMANT_SWAT_GUJARI	1	phoible	NA	NA	NA	3	27.18	78
gke	1348	Galke	GM	57	32	22	3	Atlantic-Congo	5	3.188	Africa	GALKE	1	phoible	NA	NA	NA	3	8.08	14.33
gkp	multiple	kpɛlɛwoo	multiple	37	25.5	10	1.5	Mande	460000	3.225	Africa	KPELLE_GUINEA,KPELLE_GUINEA_2	1	phoible	NA	NA	NA	2	8	-9
gla	multiple	Scottish Gaelic (Lewis)	multiple	82	33	49	0	Indo-European	60130	3.7	W and SW Eurasia	GAELIC_SCOTTISH	0	phoible	NA	NA	NA	0	57	-4
gld	492	Nanai	EA	NA	NA	NA	0	Tungusic	1390	4.512	N-C Asia	HEZHE,NANAI,NANAI_2,NANAI_CHINA,NAYKHIN_NANAI	0	phoible	nai	1	0	0	49.5	137
gle	multiple	Irish Gaelic	multiple	54.75	37	17.75	0	Indo-European	169240	3.631	W and SW Eurasia	IRISH,IRISH_GAELIC	0	phoible	ird	1	0	0	53	-8
glg	multiple	Galician	multiple	30	23	7	0	Indo-European	2372000	4.308	W and SW Eurasia	GALICIAN	0	phoible	NA	NA	NA	0	43	-8
glk	356	Gilaki	EA	NA	NA	NA	0	Indo-European	2400000	4	W and SW Eurasia	GILAKI	0	phoible	NA	NA	NA	0	37.33	50
glw	1543	Glavda	GM	43	34	7	2	Afro-Asiatic	31300	4.382	Africa	GLAVDA	1	phoible	NA	NA	NA	2	11.24	13.9
gmm	multiple	Mbodomo; Mbódɔ̀mɔ́	multiple	37.5	28	7	2.5	Atlantic-Congo	8000	3.288	Africa	GBAYA_MBODOMO,GBAYA_MBODOMO_2	1	phoible	NA	NA	NA	2	4.5	15.5
gmv	1481	Gamo	GM	36	26	10	0	Ta-Ne-Omotic	1094400	4.276	Africa	DACHE,GAMO,GAMO_DHAACHE,MELE_2,SHARA	0	phoible	NA	NA	NA	0	6.7	37.05
gnd	851	zulgo	AA	34	29	2	3	Afro-Asiatic	26000	4.662	Africa	ZULGO	1	phoible	NA	NA	NA	3	10.83	14.08
gng	718	gangam	AA	39	22	14	3	Atlantic-Congo	77400	3	Africa	NGANGAM	1	phoible	NA	NA	NA	3	10.25	0.42
gni	2631	Gooniyandi	ER	23	19	4	0	Bunaban	60	5.081	Australia	GOONIYANDI	0	phoible	goo	1	0	0	-18.47	126.33
gnn	2975	Gumatj	ER	31	25	6	0	Pama-Nyungan	240	5.088	Australia	GOMAIDJ	0	phoible	NA	NA	NA	0	-12.5	135.5
goa	1605	Gouro	GM	57	26	28	3	Mande	500000	2.962	Africa	GOURO,GURO	1	phoible	NA	NA	NA	3	7.19	-6.31
god	723	godié	AA	42	26	13	3	Atlantic-Congo	26400	3.743	Africa	GODIE,GODIE_2	1	phoible	NA	NA	NA	3	5.42	-5.83
gou	1577	Gavar	GM	55	47	5	3	Afro-Asiatic	15000	3.962	Africa	GAVAR,GAVAR_2	1	phoible	NA	NA	NA	3	10.56	13.82
grj	NA	NA	NA	NA	NA	NA	NA	Atlantic-Congo	99000	3.107	Africa	GREBO,SOUTHERN_GREBO,SOUTHERN_GREBO_2	1	wals	grb	3	1	NA	5	-8
grt	multiple	Garo	multiple	23.5	18.5	5	0	Sino-Tibetan	1009000	3.969	S/SE Asia	GARO	0	phoible	gar	1	0	0	25.67	90.5
gru	multiple	Soddo	multiple	41	34	7	0	Afro-Asiatic	315500	4.182	Africa	SODDO	0	phoible	NA	NA	NA	0	8.5	38.5
gsw	multiple	Swiss German	multiple	55.5	26.5	29	0	Indo-European	5724200	3.706	W and SW Eurasia	ALSATIAN,BERNESE_GERMAN	0	phoible	NA	NA	NA	0	48.5	7.5
guc	109	Goajiro	SPA	46	28	18	0	Arawakan	416000	4.912	S America	WAYUU	0	phoible	NA	NA	NA	0	12	-72
gue	multiple	Wanyjirra	multiple	21.67	17	4.67	0	Pama-Nyungan	600	5.722	Australia	GURINDJI	0	phoible	NA	NA	NA	0	-17.67	130.67
guf	2972	Gupapuyngu	ER	31	25	6	0	Pama-Nyungan	1530	5.352	Australia	GOBABINGO,MANGGALILI,MARARBA	0	phoible	NA	NA	NA	0	-12.25	135.5
gug	119	Guarani	SPA	36	24	12	0	Tupian	6050000	4.192	S America	GUARANI	0	phoible	gua	1	0	0	-26	-56
guj	multiple	Gujarati	multiple	59	33	26	0	Indo-European	46888670	3.825	W and SW Eurasia	GUJARATI	0	phoible	NA	NA	NA	0	23	72
guk	1475	Gumuz	GM	44	34	10	0	Gumuz	201000	3.966	Africa	DISOHA,GUMUZ,SESE	0	phoible	NA	NA	NA	0	12.42	35.42
gup	multiple	Gun-Dedjnjenghmi	multiple	27.17	22	5.17	0	Gunwinyguan	1140	6.054	Australia	GUNWINGGU_GUN_DJEIHMI,GUNWINGGU_KUNE,GUNWINGGU_KUNINJKU,GUNWINGGU_KUNWINJKU,GUNWINGGU_MANYALLALUK_MAYALI	0	phoible	NA	NA	NA	0	-12.5	133.75
gur	1325	Frafra	GM	30	20	8	2	Atlantic-Congo	663100	4.333	Africa	FRAFRA,NINKARE	1	phoible	NA	NA	NA	2	10.83	-0.92
gux	727	gulmancema	AA	33	20	10	3	Atlantic-Congo	1064200	4.036	Africa	GOURMANCHEMA,GOURMANCHEMA_2,GURMANCEMA	1	phoible	NA	NA	NA	3	12.25	1
gvc	1113	Wanano	PH	24	16	6	2	Tucanoan	950	4.408	S America	GUANANO,WANANO	1	phoible	NA	NA	NA	2	0.83	-69.5
gvn	multiple	Gugu Wakura	multiple	16	13	3	0	Pama-Nyungan	360	4.692	Australia	KOKO_YALANDJI	0	phoible	kya	1	0	0	-16	145
gvr	multiple	Gurung (Western)	multiple	49	29	20	2	Sino-Tibetan	359000	3.679	S/SE Asia	GHACHOK,GURUNG,GURUNG_WESTERN	1	phoible	NA	NA	NA	2	29	83
gwc	343	Kalam (Swat-Dir) Kohistani	EA	NA	NA	NA	5	Indo-European	100000	3.143	S/SE Asia	KALAMI	1	phoible	kal	2	1	5	35.5	72.5
gwe	1638	Kigweno	GM	29	24	5	0	Atlantic-Congo	2500	3.381	Africa	GWENO,GWENO_2	0	phoible	NA	NA	NA	0	-3.67	37.75
gwn	multiple	Gwandara (Karshi)	multiple	53.83	32.33	13.5	8	Afro-Asiatic	27300	3.906	Africa	ARABISHI,GARAKU,GITATA,GWAGWA,KARSHI,NIMBIA	1	phoible	NA	NA	NA	8	8.67	8.08
gwt	340	Gawarbati	EA	NA	NA	NA	0	Indo-European	33960	3.629	S/SE Asia	GAWAR_BATI	0	phoible	NA	NA	NA	0	35.3	71.56
gwu	3017	Guwamu	ER	21	15	6	0	Pama-Nyungan	NA	4.792	Australia	GUWAMU	0	phoible	NA	NA	NA	0	-27.83	148.87
gww	3009	Kwini	ER	28	17	11	0	Worrorran	1	4.679	Australia	GUNIN_KWINI	0	phoible	NA	NA	NA	0	-14.25	126.67
gya	719	gbaya	AA	53	30	19	4	Atlantic-Congo	267000	3.198	Africa	GBAYA_KARA_2,GBAYA_KARA_3,GBAYA_KARA_4,GBAYA_KARA_5,GBAYA_KARA_6,GBAYA_KARA_7,GBAYA_KARA_8,GBAYA_LAI,KARA_BODOE,NORTHERN_GBAYA,NORTHERN_GBAYA_2	1	phoible	NA	NA	NA	4	6	14.8
gyd	multiple	Kayardild	multiple	23.5	17.5	6	0	Tangkic	8	5.629	Australia	KAYARDILD	0	phoible	kay	1	0	0	-17.05	139.5
gyy	2816	Gunya	ER	31	25	6	0	Pama-Nyungan	NA	4.548	Australia	GUNYA	0	phoible	NA	NA	NA	0	-27.06	145.86
hae	1552	Oromo, Eastern	GM	60	48	10	2	Afro-Asiatic	4530000	4.281	Africa	EASTERN_OROMO,EASTERN_OROMO_2	1	phoible	orh	3	1	2	9	42
hag	728	hanga	AA	29	23	6	0	Atlantic-Congo	6800	4.1	Africa	HANGA	0	phoible	NA	NA	NA	0	9.5	-1.53
hak	multiple	Hakka	multiple	39	23.33	12.67	3.75	Sino-Tibetan	48210500	3.227	S/SE Asia	HAKKA,HAKKA_BEILIUMUMIAN,HAKKA_BOBAICUNTOU,HAKKA_CHANGTING,HAKKA_CHENGHUAQULONGTANSI_CHENGDU,HAKKA_DAYU,HAKKA_FUMIANXINSHA,HAKKA_GANXIAN,HAKKA_HEYUAN,HAKKA_JIEXI,HAKKA_LIANNAN,HAKKA_LONGQUANYISHILINGZHEN_CHENGDU,HAKKA_LUCHUAN,HAKKA_LUCHUANSIHE,HAKKA_MEIXIAN,HAKKA_NINGDU,HAKKA_NINGHUA,HAKKA_QINGBAIJIANGLONGWANGZHEN_CHENGDU,HAKKA_QINGXI,HAKKA_RONGXIANXIANDI,HAKKA_SANDU,HAKKA_WENGYUAN,HAKKA_WUPING,HAKKA_XIANGGANG,HAKKA_XIHE,HAKKA_XINDUQUSHIBANTANZHEN_CHENGDU,HAKKA_XINGYEGAOFENG,HAKKA_YUDU,THONG_BOI	1	phoible	hak	3	1	4	25	116
han	1643	Kihangaza	GM	35	23	10	2	Atlantic-Congo	155000	3.722	Africa	HANGAZA	1	phoible	NA	NA	NA	2	-2.6	30.75
har	1397	Harari	GM	34	25	9	0	Afro-Asiatic	27120	3.694	Africa	HARARI,HARARI_2	0	phoible	NA	NA	NA	0	9.25	42.17
hau	multiple	Hausa	multiple	41.25	30.5	9	1.75	Afro-Asiatic	43654100	4.199	Africa	HAUSA,HAUSA_2,HAUSA_3,HAUSA_4,HAUSA_5,HAUSA_ADER,KANO	1	phoible	hau	2	1	2	12	7
haw	43	Hawaiian	SPA	19	9	10	0	Austronesian	2000	3.896	S/SE Asia	HAWAIIAN,HAWAIIAN_2,HAWAIIAN_3	0	phoible	haw	1	0	0	19.58	-155.5
hbb	1304	Kilba	GM	31	24	5	2	Afro-Asiatic	306000	3.615	Africa	HUBA,KILBA	1	phoible	NA	NA	NA	2	10.33	13.17
